"ClassName","CommentAddedVersion","WSIntent","WSResponsibility","WSCollabartor","WSInstanceVariable","WSKeyMessages","WSExample","WSImplementenationPoints","WSOthers"
"TxTextEditor","4","","1.0","","","","","",""
"Abort","3","","","","","","","","0.0"
"AbstractClassWidget","4","0.5","0.33","","","","","",""
"AbstractEcryptorDecryptor","2","1.0","","","","","","","1.0"
"AbstractEnumerationVisitorTest","3","1.0","","","","","","","1.0"
"AccessorInstanceVariableSlot","4","0.75","0.67","","","","","",""
"AdditionalMethodStateTest","3","1.0","","","","","","","1.0"
"AJReserveTemp","2","","","","","","","","0.5"
"AJStdCallCallInfo","2","0.0","","","","","","","0.0"
"AJx87Register","2","1.0","","","","","","","0.0"
"AllocationTest","1","","","","","","","","0.0"
"AndreasSystemProfilerTest","3","1.0","","","","","","","1.0"
"AnnouncementSetWithExclusions","6","1.0","0.33","","1.0","","1.0","",""
"AthensCairoSurface","3","0.0","","","","","","","0.0"
"AthensCubicBezier","3","1.0","","","","","","","0.5"
"AthensFontDescription","3","","","","","","","","0.0"
"AthensPathConverter","3","0.0","","","","","","","0.0"
"AthensSceneView","3","0.0","","","","","","","0.0"
"AthensSurface","3","0.0","","","","","","","0.5"
"BalloonEngine","1","","","","0.0","","","","1.0"
"BalloonMorph","1","","","","","","","","0.5"
"BaseSlot","4","0.75","","0.67","","0.5","","",""
"BehaviorInstallingDeclaration","2","0.0","","","","","","","0.0"
"BehaviorTest","3","1.0","","","","","","","0.5"
"BISettingPreviewer","6","0.33","0.33","","","","","",""
"BitBlt","1","","","","0.67","","","","0.0"
"BottomBorder","7","0.67","0.67","","1.0","1.0","1.0","",""
"CallbackForWin64X64","6","0.33","0.33","","","","","",""
"CannotDecompileNativeBoostCalls","5","","0.33","","","","","",""
"CannotDeleteFileException","3","","","","","","","","0.0"
"ChangeSorterApplication","2","1.0","","","","","","","1.0"
"Class","1","","","","","","","","0.0"
"ClassTagAdded","6","","1.0","","","","","",""
"ClyAbstractClassExample","7","1.0","0.67","0.67","","","","",""
"ClyAllClassGroupsQuery","7","1.0","","","","","","0.5",""
"ClyAllVariablesQuery","7","","1.0","","","","","",""
"ClyCritiqueMenuItemMorph","7","","1.0","","","","","",""
"ClyEnvironmentPlugin","7","1.0","0.33","","1.0","","1.0","",""
"ClyFindMethodInBrowserCommand","7","1.0","1.0","","","","1.0","",""
"ClyGlobalVariable","7","0.67","","","","","1.0","",""
"ClyInheritedTraitScope","7","1.0","1.0","0.67","","","","",""
"ClyMethodSourcesQuery","7","0.0","1.0","0.33","1.0","","1.0","",""
"ClySugsMethodContext","7","","1.0","1.0","","","","",""
"ClySystemEnvironment","7","1.0","1.0","0.67","1.0","1.0","","",""
"ClyTraitMethodDecorator","7","","1.0","","","","","",""
"ClyTypedQuery","7","1.0","1.0","","","0.5","","0.5",""
"CNGBTextConverter","1","","","","","","","","0.5"
"Color","1","","","","0.0","","","","1.0"
"ColorChooserMorph","1","","","","","","","","0.5"
"CornerRounder","1","","","","","","","","0.5"
"DADependencyFromClass","5","0.67","","","","","","0.5",""
"DADependentPackageItemDiff","5","0.67","0.33","0.67","","","","",""
"DateAndTimeTest","1","","","","0.33","","","","1.0"
"DateParser","3","","","","","","","","0.0"
"DialogWindow","1","","","","","","","","0.5"
"DualChangeSorterApplication","2","1.0","","","","","","","1.0"
"EmptyLayout","3","1.0","","","","","","","0.5"
"EncoderForSistaV1","4","","0.67","0.33","0.33","","","0.5",""
"EncoderForV3","1","","","","","","","","0.0"
"EpBehaviorCommentChange","6","1.0","","","","","","",""
"EpBehaviorNameChange","6","1.0","","","","","","",""
"EpClassChange","6","1.0","","","","","","",""
"EpHelp","6","0.33","","","","","","",""
"EpLogBrowserOperation","6","1.0","","","","","","",""
"EpLogBrowserOperationVisitor","6","1.0","","0.67","","","","",""
"EpMethodRemoval","6","1.0","","","","","","",""
"EpProtocolChange","6","1.0","","","","","","",""
"EpRenameMethodRefactoring","6","1.0","","","","","","",""
"EUCTextConverter","1","","","","","","","","0.5"
"ExampleForTest11","3","1.0","","","","","","","0.5"
"ExampleForTest12","3","0.0","","","","","","","0.5"
"ExpanderMorphContracted","1","","","","","","","","0.0"
"ExternalData","5","0.67","0.67","","1.0","","","0.5",""
"ExternalStructure","5","","0.67","","","","","0.5",""
"EyeMethodContextInspector","3","0.0","","","","","","","0.0"
"EyePointerWrapper","4","0.25","1.0","0.33","","","","",""
"FailingTestResourceTestCase","3","0.0","","","","","","","0.5"
"FastTablePresenter","7","0.67","","0.33","","","","",""
"FBDASTBuilder","5","1.0","0.0","0.33","","","","",""
"FBDLoopScanner","5","","1.0","","0.67","","","0.5",""
"FFICallbackReturnValue","5","","0.33","","","","1.0","",""
"FFICallbackType","5","1.0","1.0","0.33","0.0","","","0.5",""
"FFICompilerPluginTests","7","0.33","","0.33","","","","",""
"FFIExternalStructureReferenceHandle","5","1.0","","","","","1.0","0.5",""
"FFIUnknownLibrary","5","","1.0","","","","1.0","",""
"FinderClassNode","1","","","","","","","","1.0"
"FinderPragmaMethodNode","5","0.67","0.33","0.33","","","","0.5",""
"FindReplaceService","3","0.0","","","","","","","0.0"
"FLContextSerializationTest","4","0.25","","0.33","","","","",""
"FLGlobalCluster","2","0.0","","","","","","","0.0"
"FLLightGlobalMapper","2","","","","","","","","0.0"
"FLMaterialization","2","","","","","","","","0.0"
"FloatingPointException","1","","","","","","","","0.0"
"FLPointCluster","2","1.0","","","","","","","0.5"
"FLPositive64SmallIntegerCluster","6","0.33","","","","","","",""
"FLPrimitiveCluster","2","0.0","","","","","","","0.0"
"FLSerializationError","2","0.0","","","","","","","0.0"
"FLSerializationTest","3","1.0","","","","","","","0.5"
"FLSingletonMockEnforced","3","1.0","","","","","","","0.5"
"FLSmallIntegerCluster","2","","","","","","","","0.0"
"FLTraitSerializationTest","2","0.0","","","","","","","0.0"
"FormCanvas","1","","","","0.33","","","","0.5"
"FrameLayoutSpec","2","","","","","","","","1.0"
"FT2BitmapSize","1","","","","0.33","","","","0.5"
"FT2Constants","1","","","","0.33","","","","0.0"
"FTAllItemsStrategy","5","1.0","1.0","1.0","0.67","1.0","1.0","",""
"FTExampleMethodTableDataSource","5","1.0","","1.0","","","1.0","",""
"FTOutline","7","1.0","","","","","","",""
"FTPClient","1","","","","","","","","1.0"
"GLMAnnouncer","4","0.5","0.67","","","","","",""
"GLMBandBrick","4","0.5","0.33","","","","","",""
"GLMBrickLayoutProperties","4","0.5","","0.33","1.0","0.5","","",""
"GLMBrickRubricStyle","7","1.0","0.67","0.67","","","","",""
"GLMBrickTabLabelThemer","4","0.75","","","","","","",""
"GLMCheckboxBrick","4","0.5","","","1.0","0.5","","0.5",""
"GLMDropDownListPresentation","4","","0.67","","","","1.0","",""
"GLMDynamicPresentation","4","0.5","0.33","","","","1.0","",""
"GLMEmptyPopupBrick","6","1.0","","1.0","","0.0","1.0","",""
"GLMExplicitBrowser","4","0.5","0.33","","","","","",""
"GLMMorphicFastTreeRenderer","5","1.0","1.0","","","","","",""
"GLMMorphicPagerRenderer","4","","","","","","","",""
"GLMOSWindowWorldMorph","6","1.0","1.0","1.0","","","1.0","",""
"GLMPanePort","4","0.5","0.0","","","0.0","","",""
"GLMPopupBrick","6","1.0","","","","","","",""
"GLMPortReference","4","0.5","0.33","","","","","",""
"GLMPresentation","4","0.75","0.67","0.33","0.33","0.0","","0.5",""
"GLMPresentationBoundPort","4","0.5","0.33","0.33","1.0","","","",""
"GLMRubEditingAreaBrick","4","0.5","0.33","","0.33","","","",""
"GLMRubricSmalltalkCodePresentation","4","","1.0","1.0","","","","",""
"GLMRubScrolledTextBrick","4","0.5","0.67","0.33","1.0","0.5","","",""
"GLMWindowRequest","5","","1.0","","","","","",""
"GoferMerge","3","","","","","","","","0.0"
"GRTemporaryNeitherReadNorWrittenRule","6","","","","","","","",""
"GTBytecodeDebuggerSession","5","","1.0","","","","","",""
"GTDebuggerSystemSettings","5","","1.0","0.67","","","","",""
"GTEventCollectors","5","1.0","1.0","1.0","1.0","1.0","","",""
"GTEventRecorderSettings","5","1.0","","","","","1.0","",""
"GTFilter","5","1.0","","","","","","",""
"GTRawObjectVariablesBrowser","5","0.67","0.67","0.33","","","","",""
"GTSpotter","4","0.25","0.33","","","","","",""
"GTSpotterEventCollectorTest","5","0.67","0.67","0.33","","","","",""
"GTSpotterRecorderDiveOutEvent","4","","0.33","","","","","",""
"HaltOnCountIconStyler","6","0.67","1.0","0.67","","0.0","","",""
"HECharacter","7","1.0","1.0","","","","","",""
"HelpBrowserTest","3","0.0","","","","","","","0.5"
"HermesCommandLineHandler","7","0.67","0.33","","","","1.0","",""
"IceBasicProjectReader","7","1.0","1.0","1.0","","","","",""
"IceGitHubBranchSelectCommand","7","0.67","0.67","","","","","",""
"IceGitHubPullRequestDataSource","6","1.0","1.0","","","","","",""
"IceNothingToCommit","6","","1.0","","","","","",""
"IceRemovedClassReference","6","0.33","","0.33","","","","",""
"IceSemanticVersion","6","1.0","1.0","","","","","",""
"IceTipAddSSHCredentialsModel","7","","1.0","","","","","",""
"IceTipBrowser","7","1.0","1.0","","","","","",""
"IceTipGitHubPullRequestListBrowser","7","1.0","1.0","0.0","1.0","","","",""
"IceTipGitHubRepositoryPanel","7","1.0","1.0","","","","","",""
"IceTipItemPosition","7","1.0","","0.67","","","","",""
"IceTipPullCommand","7","1.0","1.0","","","","","",""
"IceTipRemoveFromRepositoryPackageCommand","7","0.33","0.67","","","","","",""
"IceTipRepairCheckoutBranch","7","","1.0","","","","","",""
"IceTipRepairFetchRemoteBranch","7","","1.0","","","","","",""
"IdentityTransform","3","0.0","","","","","","","0.5"
"IllegalResumeAttempt","1","","","","","","","","0.5"
"ImageModel","3","0.0","","","","","","","1.0"
"ImageMorph","1","","","","0.67","","","","1.0"
"InlineTextDiffBuilder","7","0.33","","","","","","",""
"InstanceVariableSlot","4","","1.0","","","","","",""
"Integer","1","","","","","","","","0.0"
"IRMethod","3","0.0","","","","","","","0.0"
"Job","2","1.0","","","","","","","1.0"
"KeyChain","2","1.0","","","","","","","1.0"
"KeyNotFound","1","","","","","","","","0.5"
"KMPragmaKeymapBuilder","3","0.0","","","","","","","0.0"
"LargeNegativeInteger","1","","","","","","","","0.5"
"LayoutFrame","1","","","","0.67","","","","0.0"
"LazyClassListExample","1","","","","","","","","0.5"
"LGitDiffDelta","6","1.0","","","","","","0.5",""
"LGitSafeFFICalloutMethodBuilder","6","1.0","1.0","","","0.5","","0.5",""
"ListComposableModel","2","1.0","","","","","","","1.0"
"ListPresenter","7","0.67","","0.67","0.33","0.5","","",""
"LockableTabMorph","6","1.0","1.0","0.67","","","","",""
"ManifestCollectionsStrings","5","","1.0","0.67","","","","",""
"ManifestCollectionsSupport","5","","1.0","0.33","","","","",""
"ManifestFiles","5","","1.0","0.33","","","","",""
"ManifestNetworkUUID","5","","1.0","0.33","","","","",""
"ManifestRandomCore","6","","1.0","0.33","","","","",""
"ManifestRingCoreKernel","5","","0.67","0.67","","","","",""
"ManifestSystemLocalization","5","","1.0","0.33","","","","",""
"MCClassDefinition","2","1.0","","","","","","","1.0"
"MCCodeTool","1","","","","","","","","1.0"
"MCLazyVersionInfo","4","","0.33","","","","","0.5",""
"MCMockAPoolDictionary","3","","","","","","","","0.0"
"MCReader","3","0.0","","","","","","","0.5"
"MCSubDirectoryRepositoryTest","2","0.0","","","","","","","0.0"
"MCVersionLoaderStopped","5","","","","","","","",""
"MCWorkingHistoryBrowser","3","0.0","","","","","","","0.5"
"MD5NonPrimitive","1","","","","","","","","0.5"
"MetacelloCommandLineHandler","7","0.0","0.33","","","","1.0","",""
"MetacelloLookupProjectSpecForLoad","3","","","","","","","","1.0"
"MethodAdded","1","","","","","","","","0.0"
"MethodClassInitializeAction","4","","0.33","","","","","",""
"MethodContainsHaltAction","2","1.0","","","","","","","0.5"
"MethodDeclaration","2","0.0","","","","","","","0.0"
