"name_groups","content_type","p_value","magnitude"
"Wilcox.test between Pharo1 & Pharo2-3-Intent","Intent",0.710422686927781,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo2-3-Responsibility","Responsibility",0.487845357346426,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo2-3-Collabartor","Collabartor",0.715516518986196,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo2-3-InstanceVariable","InstanceVariable",1.91515243591972e-05,"Vargha and Delaney A = small"
"Wilcox.test between Pharo1 & Pharo2-3-KeyMessages","KeyMessages",0.0487653891258343,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo2-3-Example","Example",0.349562286039758,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo2-3-ImplementenationPoints","ImplementenationPoints",0.0204393905055649,"Vargha and Delaney A = small"
"Wilcox.test between Pharo1 & Pharo4-Intent","Intent",0.0268692067095135,"Vargha and Delaney A = small"
"Wilcox.test between Pharo1 & Pharo4-Responsibility","Responsibility",0.1016233977006,"Vargha and Delaney A = small"
"Wilcox.test between Pharo1 & Pharo4-Collabartor","Collabartor",0.675359074630454,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo4-InstanceVariable","InstanceVariable",0.138637509143769,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo4-KeyMessages","KeyMessages",0.571171550548113,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo4-Example","Example",0.0394156381013736,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo4-ImplementenationPoints","ImplementenationPoints",0.100713596683,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo5-6-7-Intent","Intent",0.791719095323425,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo5-6-7-Responsibility","Responsibility",0.0889327192197688,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo5-6-7-Collabartor","Collabartor",0.50805176550219,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo5-6-7-InstanceVariable","InstanceVariable",0.0269947222063781,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo5-6-7-KeyMessages","KeyMessages",0.104591956416945,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo5-6-7-Example","Example",0.837797561908855,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo1 & Pharo5-6-7-ImplementenationPoints","ImplementenationPoints",0.0164002830854573,"Vargha and Delaney A = small"
"Wilcox.test between Pharo2-3 & Pharo4-Intent","Intent",0.0255550739509134,"Vargha and Delaney A = small"
"Wilcox.test between Pharo2-3 & Pharo4-Responsibility","Responsibility",0.232163771847581,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo4-Collabartor","Collabartor",0.903391099568291,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo4-InstanceVariable","InstanceVariable",0.0114087779428855,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo4-KeyMessages","KeyMessages",0.205301958418944,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo4-Example","Example",0.148368273889361,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo4-ImplementenationPoints","ImplementenationPoints",0.748089398936402,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo5-6-7-Intent","Intent",0.86846377309931,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo5-6-7-Responsibility","Responsibility",0.234936092236287,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo5-6-7-Collabartor","Collabartor",0.184545651180696,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo5-6-7-InstanceVariable","InstanceVariable",0.00850377143482433,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo5-6-7-KeyMessages","KeyMessages",0.551595789963798,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo5-6-7-Example","Example",0.337076131170661,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo2-3 & Pharo5-6-7-ImplementenationPoints","ImplementenationPoints",0.884772835849412,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo4 & Pharo5-6-7-Intent","Intent",0.0112821047575889,"Vargha and Delaney A = small"
"Wilcox.test between Pharo4 & Pharo5-6-7-Responsibility","Responsibility",0.725662343349748,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo4 & Pharo5-6-7-Collabartor","Collabartor",0.243518053091424,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo4 & Pharo5-6-7-InstanceVariable","InstanceVariable",0.810961228864749,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo4 & Pharo5-6-7-KeyMessages","KeyMessages",0.395597522247233,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo4 & Pharo5-6-7-Example","Example",0.0332967785114922,"Vargha and Delaney A = negligible"
"Wilcox.test between Pharo4 & Pharo5-6-7-ImplementenationPoints","ImplementenationPoints",0.82185619406243,"Vargha and Delaney A = negligible"
