"Version","Section","Rule","True","False","Total"
"4","WSResponsibility","self.description.style = firstPersonPronouns","9","29","38"
"4","WSResponsibility","self.description.useSimilarWordsTo = {‘I do’, ‘I offer","17","21","38"
"4","WSResponsibility","self.description.lines","35","3","38"
"3","WSOverall","self.className -> notEmpty","17","35","52"
"3","WSOverall","self.description.style = thirdPerson","19","33","52"
"4","WSIntent","self.description.style =  firstPersonPronouns","7","20","27"
"4","WSIntent","self.description.startsWith =  ‘I am","7","20","27"
"4","WSIntent","self.className -> notEmpty","13","14","27"
"4","WSIntent","self.description.lines","27","0","27"
"2","WSIntent","self.description.style = thirdPerson","19","16","35"
"2","WSOverall","self.className -> notEmpty","19","33","52"
"2","WSOverall","self.description.style = thirdPerson","24","28","52"
"3","WSIntent","self.description.style = thirdPerson","14","25","39"
"1","WSOverall","self.className -> notEmpty","22","30","52"
"1","WSOverall","self.description.style = thirdPerson","29","23","52"
"6","WSIntent","self.description.useSimilarWordsTo =  ‘I represent","34","8","42"
"6","WSIntent","self.description.style =  firstPersonPronouns","35","7","42"
"6","WSIntent","self.description.lines","41","1","42"
"6","WSResponsibility","self.description.style = firstPersonPronouns","24","4","28"
"6","WSResponsibility","self.description.useSimilarWordsTo = {‘I do’, ‘I know","19","9","28"
"6","WSResponsibility","self.description.lines","27","1","28"
"6","WSInstanceVariable","self.header = ‘instance Variable","1","2","3"
"6","WSInstanceVariable","self.listOfInstanceVariables -> notEmpty","2","1","3"
"6","WSInstanceVariable","self.name and self.type -> notEmpty","2","1","3"
"6","WSExample","self.description = CodeOrText","9","0","9"
"1","WSInstanceVariable","self.header = ‘Instance Variables’ or 'class Instance Variable","5","10","15"
"1","WSInstanceVariable","self.name and self.type -> notEmpty","7","8","15"
"1","WSInstanceVariable","self.listOfVariables -> notEmpty","11","4","15"
"4","WSCollabartor","self.description.useSimilarWordsTo = ‘I interact","5","10","15"
"4","WSCollabartor","self.description.style = firstPersonPronouns","2","13","15"
"4","WSCollabartor","self.interactions.lines","13","2","15"
"4","WSKeyMessages","self.header = ‘Public API’ or ‘Key Messages","0","6","6"
"4","WSKeyMessages","self.listOfKeyMessages -> notEmpty","4","2","6"
"7","WSIntent","self.description.useSimilarWordsTo =  ‘I represent","27","15","42"
"7","WSIntent","self.description.style =  firstPersonPronouns","22","20","42"
"7","WSIntent","self.description.lines","38","4","42"
"7","WSResponsibility","self.description.style = firstPersonPronouns","26","14","40"
"7","WSResponsibility","self.description.useSimilarWordsTo = {‘I do’, ‘I know","30","10","40"
"7","WSResponsibility","self.description.lines","35","5","40"
"7","WSInstanceVariable","self.header = ‘instance Variable","7","3","10"
"7","WSInstanceVariable","self.listOfInstanceVariables -> notEmpty","8","2","10"
"7","WSInstanceVariable","self.name and self.type -> notEmpty","8","2","10"
"7","WSKeyMessages","self.header = ‘Public API’ or ‘Key Messages","2","2","4"
"7","WSKeyMessages","self.listOfKeyMessages -> notEmpty","4","0","4"
"7","WSExample","self.description = CodeOrText","9","1","10"
"5","WSResponsibility","self.description.style = firstPersonPronouns","26","16","42"
"5","WSResponsibility","self.description.useSimilarWordsTo = {‘I do’, ‘I know","31","11","42"
"5","WSResponsibility","self.description.lines","40","2","42"
"7","WSCollabartor","self.description.style = firstPersonPronouns","9","7","16"
"7","WSCollabartor","self.interactions.lines","14","2","16"
"7","WSCollabartor","self.description.useSimilarWordsTo =  ‘I interact","5","11","16"
"7","WSImplementenationPoints","self.header = ‘Implementation Points’ or ‘Internal Represenation","0","5","5"
"7","WSImplementenationPoints","self.description = CodeOrText","5","0","5"
"5","WSIntent","self.description.useSimilarWordsTo =  ‘I represent","21","6","27"
"5","WSIntent","self.description.style =  firstPersonPronouns","17","10","27"
"5","WSIntent","self.description.lines","27","0","27"
"5","WSImplementenationPoints","self.header = ‘Implementation Points’ or ‘Internal Represenation","0","9","9"
"5","WSImplementenationPoints","self.description = CodeOrText","9","0","9"
"5","WSCollabartor","self.description.style = firstPersonPronouns","10","16","26"
"5","WSCollabartor","self.interactions.lines","26","0","26"
"5","WSCollabartor","self.description.useSimilarWordsTo =  ‘I interact","11","15","26"
"4","WSInstanceVariable","self.header = ‘instance Variable","5","2","7"
"4","WSInstanceVariable","self.listOfInstanceVariables -> notEmpty","6","1","7"
"4","WSInstanceVariable","self.name and self.type -> notEmpty","4","3","7"
